OrgId,X-Coord,Y-Coord,Angle,Curvature,PLC-Bits,PLC-Word,PLC-Word2,ChangeTime,Remark
3,18424,13892,9000,0,0,0,0,1555360995, 
4,18424,14155,27000,0,0,0,0,1555360995, 
6,18424,8162,9000,0,2,0,0,1555360995, 
7,18424,19906,27000,0,2,0,0,1555360995, 
12,20744,8167,9000,0,2,0,0,1555360995, 
13,20744,19912,27000,0,2,0,0,1555360995, 
14,22918,14035,0,0,0,0,0,1555360995, 
15,23199,14035,0,0,0,0,0,1555360995, 
16,23058,13885,9000,0,0,0,0,1555360995, 
17,23058,14204,27000,0,0,0,0,1555360995, 
18,23058,8169,9000,0,2,0,0,1555360995, 
19,23058,19907,27000,0,2,0,0,1555360995, 
20,25680,14035,0,0,0,0,0,1555360995, 
21,25961,14035,0,0,0,0,0,1555360995, 
22,25820,13885,9000,0,0,0,0,1555360995, 
23,25820,14204,27000,0,0,0,0,1555360995, 
24,25820,8165,9000,0,2,0,0,1555360995, 
25,25820,19901,27000,0,2,0,0,1555360995, 
26,27988,14035,0,0,0,0,0,1555360995, 
27,28269,14035,0,0,0,0,0,1555360995, 
28,28128,13885,9000,0,0,0,0,1555360995, 
29,28128,14204,27000,0,0,0,0,1555360995, 
30,28128,8171,9000,0,2,0,0,1555360995, 
31,28128,19901,27000,0,2,0,0,1555360995, 
32,30321,14035,0,0,0,0,0,1555360995, 
33,30602,14035,0,0,0,0,0,1555360995, 
34,30461,13885,9000,0,0,0,0,1555360995, 
35,30461,14204,27000,0,0,0,0,1555360995, 
36,30461,8165,9000,0,2,0,0,1555360995, 
37,30461,19901,27000,0,2,0,0,1555360995, 
38,33116,14035,0,0,0,0,0,1555360995, 
39,33397,14035,0,0,0,0,0,1555360995, 
40,33256,13885,9000,0,0,0,0,1555360995, 
41,33256,14204,27000,0,0,0,0,1555360995, 
42,33256,8169,9000,0,2,0,0,1555360995, 
43,33256,19899,27000,0,2,0,0,1555360995, 
44,35419,14035,0,0,0,0,0,1555360995, 
45,35700,14035,0,0,0,0,0,1555360995, 
46,35559,13885,9000,0,0,0,0,1555360995, 
47,35559,14204,27000,0,0,0,0,1555360995, 
48,35559,8169,9000,0,2,0,0,1555360995, 
49,35559,19901,27000,0,2,0,0,1555360995, 
50,38210,14035,0,0,0,0,0,1555360995, 
51,38491,14035,0,0,0,0,0,1555360995, 
52,38350,13885,9000,0,0,0,0,1555360995, 
53,38350,14204,27000,0,0,0,0,1555360995, 
54,38350,8169,9000,0,2,0,0,1555360995, 
55,38350,19905,27000,0,2,0,0,1555360995, 
56,40519,14035,0,0,0,0,0,1555360995, 
57,40800,14035,0,0,0,0,0,1555360995, 
58,40659,13885,9000,0,0,0,0,1555360995, 
59,40659,14204,27000,0,0,0,0,1555360995, 
60,40659,8169,9000,0,2,0,0,1555360995, 
61,40659,19901,27000,0,2,0,0,1555360995, 
62,43298,14035,0,0,0,0,0,1555360995, 
63,43579,14035,0,0,0,0,0,1555360995, 
64,43438,14204,27000,0,0,0,0,1555360995, 
65,43438,19901,27000,0,2,0,0,1555360995, 
66,45595,14035,0,0,0,0,0,1555360995, 
67,45876,14035,0,0,0,0,0,1555360995, 
68,45735,14204,27000,0,0,0,0,1555360995, 
69,45735,19901,27000,0,2,0,0,1555360995, 
70,47908,14035,0,0,0,0,0,1555360995, 
71,48189,14035,0,0,0,0,0,1555360995, 
72,48048,14204,27000,0,0,0,0,1555360995, 
73,48048,19901,27000,0,2,0,0,1555360995, 
74,50691,14035,0,0,0,0,0,1555360995, 
75,50972,14035,0,0,0,0,0,1555360995, 
76,50831,14204,27000,0,0,0,0,1555360995, 
77,50831,19896,27000,0,2,0,0,1555360995, 
78,52982,14035,0,0,0,0,0,1555360995, 
79,53263,14035,0,0,0,0,0,1555360995, 
80,53122,14204,27000,0,0,0,0,1555360995, 
81,53122,19901,27000,0,2,0,0,1555360995, 
82,55289,14035,0,0,0,0,0,1555360995, 
83,55570,14035,0,0,0,0,0,1555360995, 
84,55429,14204,27000,0,0,0,0,1555360995, 
85,55429,19907,27000,0,3,0,0,1555777530, 
86,58100,14035,0,0,0,0,0,1555360995, 
87,58381,14035,0,0,0,0,0,1555360995, 
88,58240,14204,27000,0,0,0,0,1555360995, 
89,58240,19901,27000,0,2,0,0,1555360995, 
90,60386,14035,0,0,0,0,0,1555360995, 
91,60667,14035,0,0,0,0,0,1555360995, 
92,60526,14204,27000,0,0,0,0,1555360995, 
93,60526,19901,27000,0,2,0,0,1555360995, 
94,62678,14035,0,0,0,0,0,1555360995, 
95,62959,14035,0,0,0,0,0,1555360995, 
96,62818,14204,27000,0,0,0,0,1555360995, 
97,62818,19901,27000,0,2,0,0,1555360995, 
98,65487,14035,0,0,0,0,0,1555360995, 
99,65768,14035,0,0,0,0,0,1555360995, 
100,65627,14204,27000,0,0,0,0,1555360995, 
101,65627,19903,27000,0,2,0,0,1555360995, 
102,67795,14035,0,0,0,0,0,1555360995, 
103,68066,14035,0,0,0,0,0,1555360995, 
104,67925,14204,27000,0,0,0,0,1555360995, 
105,67925,19901,27000,0,2,0,0,1555360995, 
106,70068,14035,0,0,0,0,0,1555360995, 
107,70349,14035,0,0,0,0,0,1555360995, 
108,70208,14204,27000,0,0,0,0,1555360995, 
109,70208,19901,27000,0,2,0,0,1555360995, 
111,72860,14035,0,0,0,0,0,1555360995, 
112,73141,14035,0,0,0,0,0,1555360995, 
113,73000,13885,9000,0,0,0,0,1555360995, 
114,73000,14204,27000,0,0,0,0,1555360995, 
115,73000,8160,9000,0,2,0,0,1555360995, 
116,73000,19900,27000,0,2,0,0,1555360995, 
117,75162,14035,0,0,0,0,0,1555360995, 
118,75443,14035,0,0,0,0,0,1555360995, 
119,75302,13885,9000,0,0,0,0,1555360995, 
120,75302,14204,27000,0,0,0,0,1555360995, 
121,75302,8163,9000,0,2,0,0,1555360995, 
122,75302,19908,27000,0,2,0,0,1555360995, 
123,77953,14035,0,0,0,0,0,1555360995, 
124,78234,14035,0,0,0,0,0,1555360995, 
125,78093,13885,9000,0,0,0,0,1555360995, 
126,78093,14204,27000,0,0,0,0,1555360995, 
127,78093,8155,9000,0,2,0,0,1555360995, 
128,78093,19901,27000,0,2,0,0,1555360995, 
129,80250,14035,0,0,0,0,0,1555472707, 
130,80531,14035,0,0,0,0,0,1555472709, 
131,80390,13885,9000,0,0,0,0,1555360995, 
132,80390,14204,27000,0,0,0,0,1555472711, 
133,80390,8156,9000,0,2,0,0,1555360995, 
134,80390,19901,27000,0,2,0,0,1555360995, 
135,82557,14035,0,0,0,0,0,1555472688, 
136,82838,14035,0,0,0,0,0,1555472690, 
137,82697,13885,9000,0,0,0,0,1555472694, 
138,82697,14204,27000,0,0,0,0,1555472692, 
139,82697,8165,9000,0,2,0,0,1555360995, 
140,82697,19901,27000,0,2,0,0,1555360995, 
141,85351,14035,0,0,0,0,0,1555472678, 
142,85632,14035,0,0,0,0,0,1555472680, 
143,85491,13885,9000,0,0,0,0,1555472682, 
144,85491,14204,27000,0,0,0,0,1555472684, 
145,85491,8169,9000,0,2,0,0,1555360995, 
146,85491,19904,27000,0,2,0,0,1555360995, 
147,87649,14035,0,0,0,0,0,1555472660, 
148,87930,14035,0,0,0,0,0,1555472658, 
149,87789,13885,9000,0,0,0,0,1555472664, 
150,87789,14204,27000,0,0,0,0,1555472662, 
151,87789,8169,9000,0,2,0,0,1555360995, 
152,87789,19901,27000,0,2,0,0,1555360995, 
153,89692,14035,18000,0,0,0,0,1555472628, 
155,90127,13885,9000,0,0,0,0,1555360995, 
156,90127,14222,27000,0,0,0,0,1555360995, 
157,90127,8173,9000,0,2,0,0,1555360995, 
158,90127,19901,27000,0,2,0,0,1555360995, 
182,20604,14035,0,0,0,0,0,1555360995, 
183,20885,14035,0,0,0,0,0,1555360995, 
184,20744,13885,9000,0,0,0,0,1555360995, 
185,20744,14204,27000,0,0,0,0,1555360995, 
186,18659,14035,0,0,0,0,0,1555360995, 
191,18912,14035,18000,0,0,0,0,1555360995, 
193,89776,14035,0,0,0,0,0,1555360995, 
194,10506,37063,9000,0,0,0,0,1555361059, 
196,10506,31344,9000,0,2,0,0,1555361059, 
198,12849,31338,9000,0,2,0,0,1555361059, 
199,12849,43053,27000,0,2,0,0,1555413215, 
200,15023,37206,0,0,0,0,0,1555361059, 
201,15304,37206,0,0,0,0,0,1555361059, 
202,15163,37056,9000,0,0,0,0,1555361059, 
203,15163,37345,27000,0,0,0,0,1555413215, 
204,15163,31340,9000,0,2,0,0,1555361059, 
205,15163,43048,27000,0,2,0,0,1555413215, 
206,17764,37206,0,0,0,0,0,1555361059, 
207,18045,37206,0,0,0,0,0,1555413215, 
208,17904,37056,9000,0,0,0,0,1555361059, 
209,17904,37345,27000,0,0,0,0,1555413215, 
210,17904,31336,9000,0,2,0,0,1555361059, 
211,17904,43080,27000,0,2,0,0,1555413215, 
212,20069,37206,0,0,0,0,0,1555361059, 
213,20350,37206,0,0,0,0,0,1555361059, 
214,20209,37056,9000,0,0,0,0,1555361059, 
215,20209,37345,27000,0,0,0,0,1555413215, 
216,20209,31342,9000,0,2,0,0,1555361059, 
217,20209,43077,27000,0,2,0,0,1555413215, 
218,22375,37206,0,0,0,0,0,1555361059, 
219,22656,37206,0,0,0,0,0,1555361059, 
220,22515,37056,9000,0,0,0,0,1555361059, 
221,22515,37345,27000,0,0,0,0,1555413215, 
222,22515,31336,9000,0,2,0,0,1555361059, 
223,22515,43077,27000,0,2,0,0,1555413215, 
224,25173,37206,0,0,0,0,0,1555361059, 
225,25454,37206,0,0,0,0,0,1555361059, 
226,25313,37056,9000,0,0,0,0,1555361059, 
227,25313,37345,27000,0,0,0,0,1555413215, 
228,25313,31341,9000,0,2,0,0,1555361059, 
229,25313,43085,27000,0,2,0,0,1555413215, 
230,34268,37206,0,0,0,0,0,1555413215, 
231,34549,37206,0,0,0,0,0,1555413215, 
232,34408,37056,9000,0,0,0,0,1555413215, 
233,34408,37345,27000,0,0,0,0,1555413215, 
234,34408,31340,9000,0,2,0,0,1555361059, 
235,34408,43077,27000,0,2,0,0,1555413215, 
236,36624,37206,0,0,0,0,0,1555413215, 
237,36905,37206,0,0,0,0,0,1555413215, 
238,36764,37056,9000,0,0,0,0,1555413215, 
239,36764,37345,27000,0,0,0,0,1555413215, 
240,36764,31340,9000,0,2,0,0,1555361059, 
241,36764,43081,27000,0,2,0,0,1555413215, 
242,39983,37206,0,0,0,0,0,1555361059, 
243,40264,37206,0,0,0,0,0,1555361059, 
244,40123,37056,9000,0,0,0,0,1555361059, 
245,40123,37345,27000,0,0,0,0,1555413215, 
246,40123,31340,9000,0,2,0,0,1555361059, 
247,40123,43077,27000,0,2,0,0,1555413215, 
248,42778,37206,0,0,0,0,0,1555361059, 
249,43059,37206,0,0,0,0,0,1555361059, 
250,42918,37375,27000,0,0,0,0,1555361059, 
251,42918,43056,27000,0,2,0,0,1555361059, 
252,45075,37206,0,0,0,0,0,1555587754, 
253,45356,37206,0,0,0,0,0,1555361059, 
254,45215,37375,27000,0,0,0,0,1555361059, 
255,45215,43072,27000,0,2,0,0,1555361059, 
256,47386,37206,0,0,0,0,0,1555361059, 
257,47667,37206,0,0,0,0,0,1555361059, 
258,47526,37375,27000,0,0,0,0,1555361059, 
259,47526,43073,27000,0,2,0,0,1555361059, 
260,50179,37206,0,0,0,0,0,1555361059, 
261,50460,37206,0,0,0,0,0,1555361059, 
