OrgId,StartPoint,EndPoint,SegmentTemplate,Vehicle,TravelTime,StartsAsStartPoint,EndsAsEndPoint,Direction,PLC-Bits,PLC-Word,PLC-Word2,AddWeight,Length,CarrierTypes,Remark
13,17,13,Curve_Forward,Quad1,6011,1,1,1,0,0,0,0,3607,255, 
14,13,17,Curve_Reverse,Quad1,6011,0,0,0,0,0,0,10,3607,255, 
15,18,11,Curve_Forward,Quad1,9300,1,1,1,0,0,0,0,4883,255, 
16,11,18,Curve_Reverse,Quad1,9300,0,0,0,0,0,0,0,4883,255, 
17,18,19,SplineRotation_Reverse,Quad1,6871,0,1,0,0,0,0,0,4453,255, 
18,18,17,Quad1_Normal_Forward,Quad1,4229,1,1,1,0,0,0,0,5074,1, 
19,17,18,Quad1_Normal_Reverse,Quad1,4229,0,0,0,0,0,0,0,5074,1, 
32,7,19,Quad1_2*SD=>Diff_Reverse,Quad1,3958,0,0,0,1024,0,0,0,1058,1, 
33,19,7,Quad1_Diff=>2*SD_Forward,Quad1,3958,1,1,1,1024,0,0,0,1058,1, 
34,19,18,SplineRotation_Forward,Quad1,6557,0,1,1,0,0,0,0,4453,255, 
37,13,20,Quad1_Normal_Forward,Quad1,5164,1,1,1,0,0,0,0,2711,1, 
40,20,13,Quad1_Normal_Reverse,Quad1,5164,0,0,0,0,0,0,0,2711,1, 
41,20,12,Station_Forward,Quad1,8665,1,1,1,4,0,0,0,4549,255, 
42,12,20,Station_Reverse,Quad1,8665,0,0,0,4,0,0,0,4549,255, 
43,11,21,Quad1_Normal_Forward,Quad1,3559,1,1,1,0,0,0,0,2402,1, 
46,21,11,Quad1_Normal_Reverse,Quad1,3558,0,0,0,0,0,0,0,2402,1, 
47,7,22,Quad1_Normal_Forward,Quad1,5143,1,1,1,0,0,0,0,4243,1, 
50,22,7,Quad1_Normal_Reverse,Quad1,5143,0,0,0,0,0,0,0,4243,1, 
53,6,22,Station_Reverse,Quad1,8449,0,0,0,0,0,0,0,4436,255, 
54,22,6,Station_Forward,Quad1,8449,1,1,1,0,0,0,0,4436,255, 
55,9,19,Quad1_2*SD=>Diff_Reverse,Quad1,8272,0,1,0,1024,0,0,0,4617,1, 
56,19,9,Quad1_Diff=>2*SD_Reverse,Quad1,9515,0,1,0,1024,0,0,0,4617,1, 
72,9,33,Quad1_Normal_Forward,Quad1,2431,1,1,1,4,0,0,0,1277,1, 
73,33,8,Station_Forward,Quad1,11376,1,1,1,4,0,0,0,5972,255, 
74,8,33,Station_Reverse,Quad1,11376,0,0,0,4,0,0,0,5972,255, 
75,33,9,Quad1_Normal_Reverse,Quad1,2431,0,0,0,4,0,0,0,1277,1, 
76,21,34,Station_Forward,Quad1,11973,1,1,1,4,0,0,0,4490,255, 
77,34,21,Station_Reverse,Quad1,9977,0,0,0,4,0,0,0,4490,255, 
79,17,18,SplineRotation_Reverse,Quad1,8067,0,0,0,0,0,0,0,5074,255, 
80,18,9,Quad1_Diff=>2*SD_Forward,Quad1,6523,0,1,1,1024,0,0,0,2020,1, 
81,11,18,Quad1_2*SD=>Diff_Reverse,Quad1,9960,0,0,0,1024,0,0,0,5463,1, 
82,9,18,Quad1_2*SD=>Diff_Reverse,Quad1,5369,0,1,0,1024,0,0,0,2020,1, 
83,18,11,Quad1_Diff=>2*SD_Reverse,Quad1,9298,1,1,0,1024,0,0,0,5463,1, 
84,18,17,SplineRotation_Forward,Quad1,8721,1,1,1,0,0,0,0,5074,255, 
87,54,37,Quad1_Normal_Reverse,Quad1,3309,1,0,0,0,0,0,0,3970,1, 
88,37,38,Quad1_Crabwise_Reverse,Quad1,6253,0,0,0,0,0,0,0,4690,1, 
89,37,39,Quad1_Crabwise_Reverse,Quad1,5537,0,0,0,0,0,0,0,4153,1, 
90,38,40,Station_Reverse,Quad1,8256,0,0,0,0,0,0,0,4335,255, 
91,39,41,Station_Reverse,Quad1,8169,0,0,0,0,0,0,0,4289,255, 
94,42,44,Rotation_Reverse,Quad1,5381,0,0,0,0,0,0,0,991,255, 
98,42,48,SplineRotation_Reverse,Quad1,7571,0,0,0,0,0,0,0,3258,255, 
99,48,49,Quad1_Diff=>2*SD_Reverse,Quad1,4127,0,0,0,0,0,0,0,980,1, 
100,49,50,Entry_Station_Reverse,Quad1,1381,0,0,0,0,0,0,0,1140,255, 
101,44,51,Entry_Station_Reverse,Quad1,1307,0,0,0,0,0,0,0,1079,255, 
102,50,52,Station_Reverse,Quad1,7461,0,0,0,0,0,0,0,3917,255, 
103,51,53,Station_Reverse,Quad1,7505,0,0,0,0,0,0,0,3940,255, 
104,52,50,Station_Forward,Quad1,7461,1,1,1,0,0,0,0,3917,255, 
105,50,49,Entry_Station_Forward,Quad1,1381,1,1,1,0,0,0,0,1140,255, 
106,53,51,Station_Forward,Quad1,7505,1,1,1,0,0,0,0,3940,255, 
107,51,44,Entry_Station_Forward,Quad1,1307,1,1,1,0,0,0,0,1079,255, 
108,49,48,Quad1_2*SD=>Diff_Forward,Quad1,4127,1,1,1,1024,0,0,0,980,1, 
109,44,42,Rotation_Forward,Quad1,5381,1,1,1,0,0,0,0,991,255, 
110,48,42,SplineRotation_Forward,Quad1,8036,1,1,1,0,0,0,0,3258,255, 
112,37,54,Quad1_Normal_Forward,Quad1,3308,1,0,1,0,0,0,0,3970,1, 
115,17,54,Quad1_Normal_Forward,Quad1,3275,1,1,1,0,0,0,0,3930,1, 
116,54,55,Curve_Forward,Quad1,6036,1,1,1,0,0,0,0,4075,255, 
117,55,56,Entry_Station_Forward,Quad1,3301,1,1,1,0,0,0,0,2476,255, 
118,56,57,Station_Forward,Quad1,8478,1,1,1,0,0,0,0,4451,255, 
119,57,56,Station_Reverse,Quad1,8478,0,0,0,0,0,0,0,4451,255, 
120,56,55,Entry_Station_Reverse,Quad1,3301,0,0,0,0,0,0,0,2476,255, 
121,55,54,Curve_Reverse,Quad1,6036,0,0,0,0,0,0,0,4075,255, 
122,54,17,Quad1_Normal_Reverse,Quad1,3275,0,0,0,0,0,0,0,3930,1, 
123,40,38,Station_Forward,Quad1,8256,1,1,1,0,0,0,0,4335,255, 
124,41,39,Station_Forward,Quad1,8169,1,1,1,0,0,0,0,4289,255, 
125,38,37,Quad1_Crabwise_Forward,Quad1,6253,1,1,1,0,0,0,0,4690,1, 
126,39,37,Quad1_Crabwise_Forward,Quad1,5537,1,1,1,0,0,0,0,4153,1, 
128,60,42,Quad1_Normal_Reverse,Quad1,5738,0,0,0,0,0,0,0,4304,1, 
129,42,60,Quad1_Normal_Forward,Quad1,5738,1,1,1,0,0,0,0,4304,1, 
133,17,54,Quad1_Normal_Reverse,Quad1,3274,1,1,0,0,0,0,0,3930,1, 
