StationId,PointId,Type,SysModes,CarrierTypes,Remark,StationName
1,7,Activity,255,255, ,
2,6,Activity,255,255, ,
3,13,Activity,255,255, ,
4,12,Activity,255,255, ,
6,196,Activity,255,255, ,
7,19,Activity,255,255, ,
8,18,Activity,255,255, ,
9,25,Activity,255,255, ,
10,24,Activity,255,255, ,
11,31,Activity,255,255, ,
12,30,Activity,255,255, ,
13,37,Activity,255,255, ,
14,36,Activity,255,255, ,
15,43,Activity,255,255, ,
16,42,Activity,255,255, ,
17,49,Activity,255,255, ,
18,48,Activity,255,255, ,
19,55,Activity,255,255, ,
20,54,Activity,255,255, ,
21,61,Activity,255,255, ,
22,60,Activity,255,255, ,
23,65,Activity,255,255, ,
24,69,Activity,255,255, ,
25,73,Activity,255,255, ,
26,77,Activity,255,255, ,
27,81,Activity,255,255, ,
28,85,Activity,255,255, ,
29,89,Activity,255,255, ,
30,93,Activity,255,255, ,
31,97,Activity,255,255, ,
32,101,Activity,255,255, ,
33,105,Activity,255,255, ,
34,109,Activity,255,255, ,
35,116,Activity,255,255, ,
36,115,Activity,255,255, ,
37,122,Activity,255,255, ,
38,121,Activity,255,255, ,
39,128,Activity,255,255, ,
40,127,Activity,255,255, ,
41,134,Activity,255,255, ,
42,133,Activity,255,255, ,
43,140,Activity,255,255, ,
44,139,Activity,255,255, ,
45,146,Activity,255,255, ,
46,145,Activity,255,255, ,
47,152,Activity,255,255, ,
48,151,Activity,255,255, ,
49,158,Activity,255,255, ,
50,157,Activity,255,255, ,
51,199,Activity,255,255, ,
52,198,Activity,255,255, ,
53,205,Activity,255,255, ,
54,204,Activity,255,255, ,
55,211,Activity,255,255, ,
56,210,Activity,255,255, ,
57,217,Activity,255,255, ,
58,216,Activity,255,255, ,
59,223,Activity,255,255, ,
60,222,Activity,255,255, ,
61,229,Activity,255,255, ,
62,228,Activity,255,255, ,
63,235,Activity,255,255, ,
64,234,Activity,255,255, ,
65,241,Activity,255,255, ,
66,240,Activity,255,255, ,
67,247,Activity,255,255, ,
68,246,Activity,255,255, ,
69,251,Activity,255,255, ,
70,255,Activity,255,255, ,
71,259,Activity,255,255, ,
72,263,Activity,255,255, ,
73,267,Activity,255,255, ,
74,271,Activity,255,255, ,
75,275,Activity,255,255, ,
76,279,Activity,255,255, ,
77,283,Activity,255,255, ,
78,287,Activity,255,255, ,
79,291,Activity,255,255, ,
80,295,Activity,255,255, ,
81,301,Activity,255,255, ,
82,300,Activity,255,255, ,
83,307,Activity,255,255, ,
84,306,Activity,255,255, ,
85,313,Activity,255,255, ,
86,312,Activity,255,255, ,
87,319,Activity,255,255, ,
88,318,Activity,255,255, ,
89,325,Activity,255,255, ,
90,324,Activity,255,255, ,
91,331,Activity,255,255, ,
92,330,Activity,255,255, ,
93,337,Activity,255,255, ,
94,336,Activity,255,255, ,
95,382,Activity,255,255, ,
96,341,Activity,255,255, ,
97,350,Activity,255,255, ,
98,357,Activity,255,255, ,
99,363,Activity,255,255, ,
100,362,Activity,255,255, ,
101,369,Activity,255,255, ,
102,368,Activity,255,255, ,
103,375,Activity,255,255, ,
104,374,Activity,255,255, ,
105,381,Activity,255,255, ,
106,388,Activity,255,255, ,
107,387,Activity,255,255, ,
108,394,Activity,255,255, ,
109,393,Activity,255,255, ,
110,400,Activity,255,255, ,
111,399,Activity,255,255, ,
112,406,Activity,255,255, ,
113,405,Activity,255,255, ,
114,412,Activity,255,255, ,
115,411,Activity,255,255, ,
116,414,Activity,255,255, ,
117,416,Activity,255,255, ,
118,415,Activity,255,255, ,
119,422,Activity,255,255, ,
120,421,Activity,255,255, ,
121,428,Activity,255,255, ,
122,427,Activity,255,255, ,
123,434,Activity,255,255, ,
124,433,Activity,255,255, ,
125,440,Activity,255,255, ,
126,439,Activity,255,255, ,
127,446,Activity,255,255, ,
128,445,Activity,255,255, ,
129,452,Activity,255,255, ,
130,451,Activity,255,255, ,
131,458,Activity,255,255, ,
132,457,Activity,255,255, ,
133,464,Activity,255,255, ,
134,463,Activity,255,255, ,
135,468,Activity,255,255, ,
136,472,Activity,255,255, ,
137,476,Activity,255,255, ,
138,480,Activity,255,255, ,
139,484,Activity,255,255, ,
140,488,Activity,255,255, ,
141,492,Activity,255,255, ,
142,496,Activity,255,255, ,
143,500,Activity,255,255, ,
144,504,Activity,255,255, ,
145,508,Activity,255,255, ,
146,512,Activity,255,255, ,
147,518,Activity,255,255, ,
148,517,Activity,255,255, ,
149,524,Activity,255,255, ,
150,523,Activity,255,255, ,
151,530,Activity,255,255, ,
152,529,Activity,255,255, ,
153,536,Activity,255,255, ,
154,535,Activity,255,255, ,
155,542,Activity,255,255, ,
156,541,Activity,255,255, ,
157,548,Activity,255,255, ,
158,547,Activity,255,255, ,
159,554,Activity,255,255, ,
160,553,Activity,255,255, ,
161,587,Activity,255,255, ,
162,557,Activity,255,255, ,
163,568,Activity,255,255, ,
164,567,Activity,255,255, ,
165,574,Activity,255,255, ,
166,573,Activity,255,255, ,
167,580,Activity,255,255, ,
168,579,Activity,255,255, ,
169,586,Activity,255,255, ,
170,593,Activity,255,255, ,
171,592,Activity,255,255, ,
172,599,Activity,255,255, ,
173,598,Activity,255,255, ,
174,605,Activity,255,255, ,
175,604,Activity,255,255, ,
176,611,Activity,255,255, ,
177,610,Activity,255,255, ,
178,617,Activity,255,255, ,
179,616,Activity,255,255, ,
180,619,Activity,255,255, ,
181,623,Activity,255,255, ,
182,626,Activity,255,255, ,
183,630,Activity,255,255, ,
184,633,Activity,255,255, ,
185,637,Activity,255,255, ,
186,640,Activity,255,255, ,
187,644,Activity,255,255, ,
188,647,Activity,255,255, ,
189,651,Activity,255,255, ,
190,654,Activity,255,255, ,
191,658,Activity,255,255, ,
192,661,Activity,255,255, ,
193,665,Activity,255,255, ,
194,668,Activity,255,255, ,
195,672,Activity,255,255, ,
196,675,Activity,255,255, ,
197,679,Activity,255,255, ,
198,682,Activity,255,255, ,
199,686,Activity,255,255, ,
200,689,Activity,255,255, ,
201,693,Activity,255,255, ,
202,696,Activity,255,255, ,
203,698,Activity,255,255, ,
204,697,Activity,255,255, ,
205,704,Activity,255,255, ,
206,703,Activity,255,255, ,
207,710,Activity,255,255, ,
208,709,Activity,255,255, ,
209,716,Activity,255,255, ,
210,715,Activity,255,255, ,
211,722,Activity,255,255, ,
212,721,Activity,255,255, ,
213,728,Activity,255,255, ,
214,727,Activity,255,255, ,
215,734,Activity,255,255, ,
216,733,Activity,255,255, ,
217,740,Activity,255,255, ,
218,739,Activity,255,255, ,
219,746,Activity,255,255, ,
220,745,Activity,255,255, ,
221,750,Activity,255,255, ,
222,754,Activity,255,255, ,
223,758,Activity,255,255, ,
224,762,Activity,255,255, ,
225,766,Activity,255,255, ,
226,770,Activity,255,255, ,
227,774,Activity,255,255, ,
228,778,Activity,255,255, ,
229,782,Activity,255,255, ,
230,786,Activity,255,255, ,
231,790,Activity,255,255, ,
232,794,Activity,255,255, ,
233,800,Activity,255,255, ,
234,799,Activity,255,255, ,
235,806,Activity,255,255, ,
236,805,Activity,255,255, ,
237,812,Activity,255,255, ,
238,811,Activity,255,255, ,
239,818,Activity,255,255, ,
240,817,Activity,255,255, ,
241,824,Activity,255,255, ,
242,823,Activity,255,255, ,
243,830,Activity,255,255, ,
244,829,Activity,255,255, ,
245,836,Activity,255,255, ,
246,835,Activity,255,255, ,
247,869,Activity,255,255, ,
248,839,Activity,255,255, ,
249,850,Activity,255,255, ,
250,849,Activity,255,255, ,
251,856,Activity,255,255, ,
252,855,Activity,255,255, ,
253,862,Activity,255,255, ,
254,861,Activity,255,255, ,
255,868,Activity,255,255, ,
256,875,Activity,255,255, ,
257,874,Activity,255,255, ,
258,881,Activity,255,255, ,
259,880,Activity,255,255, ,
260,887,Activity,255,255, ,
261,886,Activity,255,255, ,
262,893,Activity,255,255, ,
263,892,Activity,255,255, ,
264,899,Activity,255,255, ,
265,898,Activity,255,255, ,
266,901,Activity,255,255, ,
267,905,Activity,255,255, ,
268,908,Activity,255,255, ,
269,912,Activity,255,255, ,
270,915,Activity,255,255, ,
271,919,Activity,255,255, ,
272,922,Activity,255,255, ,
273,926,Activity,255,255, ,
274,929,Activity,255,255, ,
275,931,Activity,255,255, ,
276,930,Activity,255,255, ,
277,937,Activity,255,255, ,
278,936,Activity,255,255, ,
279,943,Activity,255,255, ,
280,942,Activity,255,255, ,
281,949,Activity,255,255, ,
282,948,Activity,255,255, ,
283,955,Activity,255,255, ,
284,954,Activity,255,255, ,
285,961,Activity,255,255, ,
286,960,Activity,255,255, ,
287,967,Activity,255,255, ,
288,966,Activity,255,255, ,
289,973,Activity,255,255, ,
290,972,Activity,255,255, ,
291,979,Activity,255,255, ,
292,978,Activity,255,255, ,
293,983,Activity,255,255, ,
294,987,Activity,255,255, ,
295,991,Activity,255,255, ,
296,995,Activity,255,255, ,
297,999,Activity,255,255, ,
298,1003,Activity,255,255, ,
299,1007,Activity,255,255, ,
300,1011,Activity,255,255, ,
301,1015,Activity,255,255, ,
302,1019,Activity,255,255, ,
303,1023,Activity,255,255, ,
304,1027,Activity,255,255, ,
305,1033,Activity,255,255, ,
306,1032,Activity,255,255, ,
307,1039,Activity,255,255, ,
308,1038,Activity,255,255, ,
309,1045,Activity,255,255, ,
310,1044,Activity,255,255, ,
311,1051,Activity,255,255, ,
312,1050,Activity,255,255, ,
313,1057,Activity,255,255, ,
314,1056,Activity,255,255, ,
315,1063,Activity,255,255, ,
316,1062,Activity,255,255, ,
317,1069,Activity,255,255, ,
318,1068,Activity,255,255, ,
319,1102,Activity,255,255, ,
320,1072,Activity,255,255, ,
321,1083,Activity,255,255, ,
322,1082,Activity,255,255, ,
323,1089,Activity,255,255, ,
324,1088,Activity,255,255, ,
325,1095,Activity,255,255, ,
326,1094,Activity,255,255, ,
327,1101,Activity,255,255, ,
328,1108,Activity,255,255, ,
329,1107,Activity,255,255, ,
330,1114,Activity,255,255, ,
331,1113,Activity,255,255, ,
332,1120,Activity,255,255, ,
333,1119,Activity,255,255, ,
334,1126,Activity,255,255, ,
335,1125,Activity,255,255, ,
336,1132,Activity,255,255, ,
337,1131,Activity,255,255, ,
338,1134,Activity,255,255, ,
339,1138,Activity,255,255, ,
340,1141,Activity,255,255, ,
341,1145,Activity,255,255, ,
342,1148,Activity,255,255, ,
343,1152,Activity,255,255, ,
344,1155,Activity,255,255, ,
345,1159,Activity,255,255, ,
348,122,Home,255,255, ,
349,307,Home,255,255, ,
350,524,Home,255,255, ,
351,806,Home,255,255, ,
352,1039,Home,255,255, ,
