OrgId,X-Coord,Y-Coord,Angle,PLC-Bits,PLC-Word,PLC-Word2,Remark
2,19799,6362,9000,2,0,0, 
3,17379,6355,9000,2,0,0, 
4,14979,6360,9000,2,0,0, 
5,12570,6362,9000,2,0,0, 
6,10170,6367,9000,2,0,0, 
7,29823,9138,18000,2,0,0, 
8,35491,9138,18000,2,0,0, 
9,29827,11543,18000,2,0,0, 
10,35445,11543,18000,2,0,0, 
11,29822,13995,18000,2,0,0, 
12,35403,13995,18000,2,0,0, 
13,23914,7281,27000,0,0,0, 
14,23914,9007,27000,0,0,0, 
15,24258,5643,18000,0,0,0, 
16,24767,9138,18000,0,0,0, 
19,23914,10578,27000,0,0,0, 
20,25200,11543,18000,0,0,0, 
23,26543,13995,18000,0,0,0, 
24,22437,12830,18000,2,0,0, 
27,19752,10958,9000,0,0,0, 
31,17342,11238,9000,0,0,0, 
32,14962,10966,9000,0,0,0, 
36,12550,10823,9000,0,0,0, 
37,10142,10823,9000,0,0,0, 
38,31665,13995,18000,0,0,0, 
39,33436,13995,18000,0,0,0, 
40,31931,11543,18000,0,0,0, 
41,33436,11543,18000,0,0,0, 
42,31665,9138,18000,0,0,0, 
43,33436,9138,18000,0,0,0, 
49,17247,11543,18000,0,0,0, 
50,14917,11543,18000,0,0,0, 
54,21773,11543,18000,0,0,0, 
56,19677,11542,18000,0,0,0, 
59,10953,11543,18000,0,0,0, 
60,12512,11543,18000,0,0,0, 
61,21859,13979,18000,0,0,0, 
62,18600,13979,18000,0,0,0, 
64,22083,11153,18000,0,0,0, 
65,16132,11153,18000,0,0,0, 
66,13953,11153,18000,0,0,0, 
70,24703,5643,18000,0,0,0, 
72,30048,5662,18050,2,0,0, 
73,13005,12022,0,0,0,0, 
75,17726,12022,0,0,0,0, 
76,15309,12022,0,0,0,0, 
77,22783,12022,0,0,0,0, 
80,23952,5678,0,0,0,0, 
81,30555,5678,0,2,0,0, 
83,24159,11543,18000,0,0,0, 
84,23282,11463,27000,0,0,0, 
86,23462,11357,0,0,0,0, 
89,23678,10953,27000,0,0,0, 
91,23678,10069,9000,0,0,0, 
92,23678,6188,9000,0,0,0, 
95,23411,11357,0,0,0,0, 
