OrgId,StartPoint,EndPoint,SegmentTemplate,Vehicle,TravelTime,StartsAsStartPoint,EndsAsEndPoint,Direction,PLC-Bits,PLC-Word,PLC-Word2,AddWeight,Length,CarrierTypes,Remark
4,15,13,Quad1_2*SD=>Diff_Forward,Quad1,6136,1,0,1,0,0,0,0,1982,1, 
6,13,15,Quad1_Diff=>2*SD_Forward,Quad1,6136,1,0,1,0,0,0,0,1982,1, 
9,14,16,Quad1_Diff=>2*SD_Reverse,Quad1,4032,0,0,0,0,0,0,0,984,1, 
11,16,14,Quad1_2*SD=>Diff_Forward,Quad1,4601,1,1,1,0,0,0,0,984,1, 
12,13,14,Quad1_Diff_Reverse,Quad1,3319,0,0,0,0,0,0,0,1726,1, 
13,14,13,Quad1_Diff_Forward,Quad1,3319,1,1,1,0,0,0,0,1726,1, 
14,14,19,Quad1_Diff_Reverse,Quad1,2014,0,0,0,0,0,0,0,1571,1, 
15,19,14,Quad1_Diff_Forward,Quad1,2014,1,1,1,0,0,0,0,1571,1, 
94,23,11,Quad1_Normal_Reverse,Quad1,25223,0,0,0,4,0,0,0,3279,1, 
95,11,23,Quad1_Normal_Forward,Quad1,25223,1,1,1,4,0,0,0,3279,1, 
96,11,38,Quad1_Normal_Reverse,Quad1,4725,0,0,0,4,0,0,0,1843,1, 
97,38,11,Quad1_Normal_Forward,Quad1,4725,1,1,1,4,0,0,0,1843,1, 
98,39,38,Quad1_Normal_Forward,Quad1,4541,1,1,1,4,0,0,0,1771,1, 
99,38,39,Quad1_Normal_Reverse,Quad1,4541,0,0,0,4,0,0,0,1771,1, 
102,39,12,Quad1_Normal_Reverse,Quad1,3782,0,0,0,4,0,0,0,1967,1, 
103,12,39,Quad1_Normal_Forward,Quad1,3782,1,1,1,4,0,0,0,1967,1, 
118,20,9,Quad1_Normal_Reverse,Quad1,8899,0,0,0,0,0,0,0,4627,1, 
119,9,20,Quad1_Normal_Forward,Quad1,8899,1,1,1,0,0,0,0,4627,1, 
120,9,40,Quad1_Normal_Reverse,Quad1,5394,0,0,0,0,0,0,0,2104,1, 
121,40,41,Quad1_Normal_Reverse,Quad1,3859,0,0,0,0,0,0,0,1505,1, 
122,41,10,Quad1_Normal_Reverse,Quad1,5151,0,0,0,0,0,0,0,2009,1, 
123,10,41,Quad1_Normal_Forward,Quad1,5151,1,1,1,0,0,0,0,2009,1, 
124,41,40,Quad1_Normal_Forward,Quad1,3859,1,1,1,0,0,0,0,1505,1, 
125,40,9,Quad1_Normal_Forward,Quad1,5394,1,1,1,0,0,0,0,2104,1, 
126,16,7,Quad1_Normal_Reverse,Quad1,12964,0,0,0,0,0,0,0,5056,1, 
127,7,16,Quad1_Normal_Forward,Quad1,12964,1,1,1,0,0,0,0,5056,1, 
128,7,42,Quad1_Normal_Reverse,Quad1,4724,0,0,0,0,0,0,0,1842,1, 
129,42,43,Quad1_Normal_Reverse,Quad1,4541,0,0,0,0,0,0,0,1771,1, 
130,43,8,Quad1_Normal_Reverse,Quad1,5268,0,0,0,0,0,0,0,2055,1, 
131,8,43,Quad1_Normal_Forward,Quad1,5271,1,1,1,0,0,0,0,2055,1, 
132,43,42,Quad1_Normal_Forward,Quad1,4543,1,1,1,0,0,0,0,1771,1, 
133,42,7,Quad1_Normal_Forward,Quad1,4725,1,1,1,0,0,0,0,1842,1, 
162,27,2,Quad1_Normal_Reverse,Quad1,11785,0,0,0,64,0,0,0,4596,1, 
163,2,27,Quad1_Normal_Forward,Quad1,11785,1,1,1,64,0,0,0,4596,1, 
168,31,3,Quad1_Normal_Reverse,Quad1,12521,0,0,0,0,0,0,0,4883,1, 
169,3,31,Quad1_Normal_Forward,Quad1,12521,1,1,1,0,0,0,0,4883,1, 
179,32,4,Quad1_Normal_Reverse,Quad1,8858,0,0,0,0,0,0,0,4606,1, 
180,4,32,Quad1_Normal_Forward,Quad1,8858,1,1,1,0,0,0,0,4606,1, 
187,36,5,Quad1_Normal_Reverse,Quad1,11439,0,0,0,0,0,0,0,4461,1, 
188,5,36,Quad1_Normal_Forward,Quad1,11438,1,1,1,0,0,0,0,4461,1, 
193,37,6,Quad1_Normal_Reverse,Quad1,11427,0,0,0,0,0,0,0,4456,1, 
194,6,37,Quad1_Normal_Forward,Quad1,11427,1,1,1,0,0,0,0,4456,1, 
221,54,56,Quad1_Normal_Forward,Quad1,1612,1,1,1,0,0,0,0,2096,1, 
222,56,54,Quad1_Normal_Reverse,Quad1,1612,0,0,0,0,0,0,0,2096,1, 
241,37,59,Quad1_2*SD=>Diff_Forward,Quad1,4800,1,0,1,0,0,0,0,1248,1, 
265,60,36,Quad1_Normal_Reverse,Quad1,5030,0,0,0,0,0,0,0,758,1, 
269,23,61,Quad1_Normal_Forward,Quad1,12006,1,1,1,4,0,0,0,4683,1, 
270,61,23,Quad1_Normal_Reverse,Quad1,12006,0,0,0,4,0,0,0,4683,1, 
271,61,62,Quad1_Normal_Forward,Quad1,12535,1,1,1,0,0,0,0,3259,1, 
272,62,61,Quad1_Normal_Reverse,Quad1,12535,0,0,0,0,0,0,0,3259,1, 
273,62,24,Quad1_Crabwise_Reverse,Quad1,6260,0,0,0,0,0,0,0,4069,1, 
274,24,62,Quad1_Crabwise_Forward,Quad1,6260,1,1,1,0,0,0,0,4069,1, 
280,50,32,Quad1_Normal_Reverse,Quad1,4044,0,0,0,0,0,0,0,622,1, 
288,49,31,Quad1_Normal_Reverse,Quad1,3395,0,0,0,0,0,0,0,400,1, 
291,65,50,Quad1_Crabwise_Forward,Quad1,2005,1,1,1,0,0,0,0,1304,1, 
292,50,65,Quad1_Crabwise_Reverse,Quad1,3343,0,0,0,0,0,0,0,1304,1, 
295,66,60,Quad1_Crabwise_Forward,Quad1,2332,1,1,1,0,0,0,0,1516,1, 
296,60,66,Quad1_Crabwise_Reverse,Quad1,2332,0,0,0,0,0,0,0,1516,1, 
297,49,60,Quad1_Normal_Forward,Quad1,4552,1,1,1,0,0,0,0,4735,1, 
298,60,50,Quad1_Normal_Reverse,Quad1,2055,0,0,0,0,0,0,0,2405,1, 
299,50,49,Quad1_Normal_Reverse,Quad1,1792,0,0,0,0,0,0,0,2330,1, 
300,49,50,Quad1_Normal_Forward,Quad1,17923,1,1,1,0,0,0,0,2330,1, 
301,60,59,Quad1_Normal_Forward,Quad1,11251,1,1,1,0,0,0,0,1559,1, 
302,59,60,Quad1_Normal_Reverse,Quad1,11165,0,0,0,0,0,0,0,1559,1, 
303,59,37,Quad1_Diff=>2*SD_Reverse,Quad1,4800,1,0,0,0,0,0,0,1248,1, 
304,64,65,Quad1_Normal_Forward,Quad1,4578,1,1,1,0,0,0,0,5951,1, 
305,65,66,Quad1_Normal_Forward,Quad1,1676,1,1,1,0,0,0,0,2179,1, 
306,66,65,Quad1_Normal_Reverse,Quad1,1676,0,0,0,0,0,0,0,2179,1, 
307,65,64,Quad1_Normal_Reverse,Quad1,4578,0,0,0,0,0,0,0,5951,1, 
308,56,49,Quad1_Normal_Forward,Quad1,1869,1,1,1,0,0,0,0,2430,1, 
314,15,70,Quad1_Normal_Reverse,Quad1,1141,0,0,0,0,0,0,0,445,1, 
315,70,15,Quad1_Normal_Forward,Quad1,1141,1,1,1,0,0,0,0,445,255, 
319,72,70,Quad1_Normal_Forward,Quad1,20558,1,1,1,0,0,0,0,5345,1, 
320,70,72,Quad1_Normal_Reverse,Quad1,20558,0,0,0,0,0,0,0,5345,1, 
325,19,64,Quad1_Diff=>2*SD_Reverse,Quad1,5399,0,1,0,0,0,0,0,2406,1, 
326,50,56,Quad1_Normal_Reverse,Quad1,3662,0,0,0,0,0,0,0,4760,1, 
328,54,19,Quad1_2*SD=>Diff_Reverse,Quad1,7866,0,1,0,0,0,0,0,3106,1, 
331,19,56,Quad1_Diff=>2*SD_Reverse,Quad1,9754,0,1,0,0,0,0,0,5201,1, 
332,36,73,Quad1_Normal_Forward,Quad1,5632,1,1,1,0,0,0,0,1654,1, 
334,31,75,Quad1_Normal_Forward,Quad1,4879,1,1,1,0,0,0,0,1165,1, 
336,32,76,Quad1_Normal_Forward,Quad1,5246,1,1,1,0,0,0,0,1403,1, 
337,73,76,Quad1_Normal_Forward,Quad1,1772,1,1,1,0,0,0,0,2304,1, 
338,76,75,Quad1_Normal_Forward,Quad1,1859,1,1,1,0,0,0,0,2417,1, 
339,75,77,Quad1_Normal_Forward,Quad1,3890,1,1,1,0,0,0,0,5057,1, 
351,77,75,Quad1_Normal_Reverse,Quad1,3890,0,0,0,0,0,0,0,5057,1, 
353,75,31,Quad1_Normal_Reverse,Quad1,4879,0,0,0,0,0,0,0,1165,1, 
354,75,76,Quad1_Normal_Reverse,Quad1,1859,0,0,0,0,0,0,0,2417,1, 
355,76,32,Quad1_Normal_Reverse,Quad1,5246,0,0,0,0,0,0,0,1403,1, 
356,76,73,Quad1_Normal_Reverse,Quad1,1772,0,0,0,0,0,0,0,2304,1, 
357,73,36,Quad1_Normal_Reverse,Quad1,5632,0,0,0,0,0,0,0,1654,1, 
358,20,83,Quad1_Normal_Forward,Quad1,801,1,1,1,0,0,0,0,1041,1, 
371,83,20,Quad1_Normal_Reverse,Quad1,801,0,0,0,0,0,0,0,1041,1, 
374,56,20,Quad1_Normal_Reverse,Quad1,4248,0,0,0,0,0,0,0,5523,1, 
379,86,89,Quad1_2*SD=>Diff_Forward,Quad1,4253,1,1,1,0,0,0,0,553,1, 
380,89,86,Quad1_Diff=>2*SD_Reverse,Quad1,4253,0,0,0,0,0,0,0,553,1, 
382,89,91,Quad1_Diff_Reverse,Quad1,680,1,0,0,0,0,0,0,884,1, 
383,91,89,Quad1_Diff_Forward,Quad1,680,1,0,1,0,0,0,0,884,1, 
384,89,77,Quad1_Diff=>2*SD_Reverse,Quad1,4118,0,0,0,0,0,0,0,1606,1, 
385,77,89,Quad1_2*SD=>Diff_Forward,Quad1,4118,1,1,1,0,0,0,0,1606,1, 
386,91,92,Quad1_Diff_Reverse,Quad1,5971,0,0,0,0,0,0,0,3881,1, 
387,92,91,Quad1_Diff_Forward,Quad1,5971,1,1,1,0,0,0,0,3881,1, 
388,92,80,Quad1_Diff=>2*SD_Forward,Quad1,2661,0,1,1,0,0,0,0,692,1, 
389,80,92,Quad1_2*SD=>Diff_Reverse,Quad1,2661,0,1,0,0,0,0,0,692,1, 
393,80,81,Quad1_Normal_Forward,Quad1,33862,1,1,1,4,0,0,0,6603,1, 
394,81,80,Quad1_Normal_Reverse,Quad1,33862,0,0,0,4,0,0,0,6603,1, 
397,84,95,Quad1_Normal_Forward,Quad1,3690,1,1,1,0,0,0,0,235,1, 
398,83,84,Quad1_Normal_Forward,Quad1,4559,1,1,1,0,0,0,0,957,1, 
399,84,83,Quad1_Normal_Reverse,Quad1,4559,0,0,0,0,0,0,0,957,1, 
400,95,84,Quad1_Normal_Reverse,Quad1,3268,0,0,0,0,0,0,0,235,1, 
401,95,86,Quad1_Normal_Forward,Quad1,39,1,1,1,0,0,0,0,51,1, 
402,86,95,Quad1_Normal_Reverse,Quad1,39,0,0,0,0,0,0,0,51,1, 
403,20,54,Quad1_Normal_Forward,Quad1,2636,1,1,1,0,0,0,0,3427,1, 
